dept_id,name_ko,kind,college,department,major,list_url,link_selector,content_selector,url_prefix,fetch_type,login,seed_pages,discord_channel_id,discord_role_id,icon_url,active,note,fetch_config
iise,공과대학 산업·정보시스템공학과,major,공과대학,산업·정보시스템공학과,,https://iise.ssu.ac.kr/cummunity/notice/,table > tbody > tr > td.title > a,#mform > table > tbody,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
soar,공과대학 건축학부,major,공과대학,건축학부,,https://soar.ssu.ac.kr/news/notice/,table > tbody > tr > td.title > a,#mform > table > tbody,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
cse,IT대학 컴퓨터학부,major,IT대학,컴퓨터학부,,https://cse.ssu.ac.kr/bbs/board.php?bo_table=notice,table > tbody > tr > td.td_subject > div > a,#bo_v,,html,0,3,1358816727256793318,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
infocom,IT대학 전자정보공학부 전자정보공학부,major,IT대학,전자정보공학부,전자정보공학부,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php,#board > div.list_box > a,#board > div.view_box,,html,0,3,1398017032666222744,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
infocom_IT융합전공,IT대학 전자정보공학부 IT융합전공,major,IT대학,전자정보공학부,IT융합전공,http://infocom.ssu.ac.kr/kor/notice/undergraduate.php,#board > div.list_box > a,#board > div.view_box,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
media,IT대학 글로벌미디어학부,major,IT대학,글로벌미디어학부,,https://media.ssu.ac.kr/board/notices,,,,json_api,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,"{""list_url"": ""https://3-37-127-112.sslip.io/v1/board/?page={page}&size=15&menuId=136"", ""list_path"": ""data.boards"", ""id_key"": ""id"", ""title_key"": ""title"", ""content_key"": ""content"", ""content_format"": ""lexical"", ""url_template"": ""https://media.ssu.ac.kr/board/notices/{id}"", ""page_base"": 0, ""headers"": {""Origin"": ""https://media.ssu.ac.kr"", ""Referer"": ""https://media.ssu.ac.kr/""}}"
sw,IT대학 소프트웨어학부,major,IT대학,소프트웨어학부,,https://sw.ssu.ac.kr/bbs/board.php?bo_table=notice,tbody > tr > td.td_subject > div > a,#bo_v,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
aix,IT대학 AI융합학부,major,IT대학,AI융합학부,,https://aix.ssu.ac.kr/notice.html,div.table-responsive > table.table td > a,#contentArea > div.content_box > div > div > div.table-responsive,,html,0,3,1360537451981967390,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
mediamba,IT대학 미디어경영학과,major,IT대학,미디어경영학과,,https://api.mediamba.ssu.ac.kr/v1/board/?page=0&size=15&menuId=89&content=,,,,json_mediamba,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
sec,IT대학 정보보호학과,major,IT대학,정보보호학과,,https://sec.ssu.ac.kr/bbs/board.php?bo_table=notice,table > tbody > tr > td.td_subject > div > a,#bo_v,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
sls,베어드학부대학 자유전공학부,major,베어드학부대학,자유전공학부,,https://sls.ssu.ac.kr/%ed%95%99%eb%b6%80%ec%86%8c%ec%8b%9d/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/,tr > td.title > a,div.td_box,,html,0,3,,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
disu,차세대반도체학과 차세대반도체학과,major,차세대반도체학과,차세대반도체학과,,https://www.disu.ac.kr/community/notice,tbody > tr > td.title.noti-tit > a,#printbody > div,,html,0,3,1355609212016918608,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,,
startup,숭실대학교 창업지원단,etc,,창업지원단,,https://startup.ssu.ac.kr/board/notice,,,https://startup.ssu.ac.kr,json_api,0,3,1397154831579484273,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,sauron 계승. JS렌더 가능성-크롤 확인 필요,"{""list_url"": ""https://startup.ssu.ac.kr/api/board/content/list?boardEnName=notice&categoryCodeId&pageNum={page}&searchMonth"", ""list_path"": ""data.content.list"", ""id_key"": ""boardContentId"", ""title_key"": ""boardTitle"", ""content_key"": ""boardContent"", ""content_format"": ""html"", ""url_template"": ""https://startup.ssu.ac.kr/board/notice/{id}?boardEnName=notice"", ""page_base"": 1}"
disu_polaris,차세대반도체학과 POLARIS,major,차세대반도체학과,차세대반도체학과,POLARIS,https://www.disu.ac.kr/community/notice?cidx=38&page={{page}},tbody > tr > td.title.noti-tit > a,#printbody > div,,html,0,3,1355609212016918608,,https://ssu.ac.kr/wp-content/uploads/2019/05/suu_emblem1.jpg,1,sauron 계승(disu 채널 공유),
